date,product_id,quantity_sold,revenue
2026-03-08,P1000,2,7242.1
2026-03-09,P1000,3,10863.15
2026-03-10,P1000,2,7242.1
2026-03-11,P1000,6,21726.3
2026-03-12,P1000,3,10863.15
2026-03-13,P1000,6,21726.3
2026-03-14,P1000,4,14484.2
2026-03-15,P1000,4,14484.2
2026-03-16,P1000,3,10863.15
2026-03-17,P1000,3,10863.15
2026-03-18,P1000,2,7242.1
2026-03-19,P1000,8,28968.4
2026-03-21,P1000,3,10863.15
2026-03-22,P1000,7,25347.35
2026-03-23,P1000,7,25347.35
2026-03-24,P1000,3,10863.15
2026-03-25,P1000,2,7242.1
2026-03-26,P1000,2,7242.1
2026-03-27,P1000,2,7242.1
2026-03-28,P1000,5,18105.25
2026-03-29,P1000,2,7242.1
2026-03-30,P1000,3,10863.15
2026-03-31,P1000,1,3621.05
2026-04-01,P1000,1,3621.05
2026-04-02,P1000,3,10863.15
2026-04-03,P1000,3,10863.15
2026-04-04,P1000,1,3621.05
2026-04-05,P1000,5,18105.25
2026-04-06,P1000,1,3621.05
2026-04-07,P1000,3,10863.15
2026-04-08,P1000,7,25347.35
2026-04-09,P1000,5,18105.25
2026-04-10,P1000,5,18105.25
2026-04-11,P1000,10,36210.5
2026-04-12,P1000,9,32589.45
2026-04-13,P1000,8,28968.4
2026-04-14,P1000,5,18105.25
2026-04-15,P1000,9,32589.45
2026-04-16,P1000,2,7242.1
2026-04-17,P1000,5,18105.25
2026-04-18,P1000,9,32589.45
2026-04-19,P1000,2,7242.1
2026-04-20,P1000,5,18105.25
2026-04-23,P1000,2,7242.1
2026-04-24,P1000,4,14484.2
2026-04-25,P1000,1,3621.05
2026-04-26,P1000,2,7242.1
2026-04-27,P1000,4,14484.2
2026-04-28,P1000,2,7242.1
2026-04-29,P1000,2,7242.1
2026-04-30,P1000,1,3621.05
2026-05-01,P1000,2,7242.1
2026-05-02,P1000,3,10863.15
2026-05-03,P1000,2,7242.1
2026-05-04,P1000,3,10863.15
2026-05-06,P1000,1,3621.05
2026-05-07,P1000,3,10863.15
2026-05-08,P1000,5,18105.25
2026-05-09,P1000,4,14484.2
2026-05-10,P1000,4,14484.2
2026-05-11,P1000,2,7242.1
2026-05-12,P1000,9,32589.45
2026-05-13,P1000,3,10863.15
2026-05-14,P1000,4,14484.2
2026-05-15,P1000,5,18105.25
2026-05-16,P1000,7,25347.35
2026-05-17,P1000,7,25347.35
2026-05-18,P1000,5,18105.25
2026-05-19,P1000,2,7242.1
2026-05-20,P1000,3,10863.15
2026-05-21,P1000,3,10863.15
2026-05-22,P1000,4,14484.2
2026-05-23,P1000,6,21726.3
2026-05-24,P1000,1,3621.05
2026-05-25,P1000,6,21726.3
2026-05-26,P1000,5,18105.25
2026-05-27,P1000,4,14484.2
2026-05-29,P1000,1,3621.05
2026-05-30,P1000,4,14484.2
2026-05-31,P1000,1,3621.05
2026-06-01,P1000,4,14484.2
2026-06-02,P1000,2,7242.1
2026-06-03,P1000,2,7242.1
2026-06-04,P1000,3,10863.15
2026-06-05,P1000,1,3621.05
2026-06-06,P1000,4,14484.2
2026-06-07,P1000,4,14484.2
2026-06-08,P1000,2,7242.1
2026-06-10,P1000,2,7242.1
2026-06-11,P1000,5,18105.25
2026-06-12,P1000,1,3621.05
2026-06-13,P1000,7,25347.35
2026-06-14,P1000,5,18105.25
2026-06-15,P1000,3,10863.15
2026-06-16,P1000,3,10863.15
2026-06-17,P1000,1,3621.05
2026-06-18,P1000,4,14484.2
2026-06-19,P1000,1,3621.05
2026-06-20,P1000,5,18105.25
2026-06-21,P1000,3,10863.15
2026-06-22,P1000,2,7242.1
2026-06-23,P1000,3,10863.15
2026-06-24,P1000,4,14484.2
2026-06-26,P1000,3,10863.15
2026-06-27,P1000,4,14484.2
2026-06-28,P1000,3,10863.15
2026-06-29,P1000,4,14484.2
2026-06-30,P1000,4,14484.2
2026-07-01,P1000,3,10863.15
2026-07-02,P1000,7,25347.35
2026-07-03,P1000,1,3621.05
2026-07-04,P1000,3,10863.15
2026-07-05,P1000,5,18105.25
2026-07-06,P1000,1,3621.05
2026-07-07,P1000,10,36210.5
2026-07-08,P1000,3,10863.15
2026-07-09,P1000,1,3621.05
2026-07-10,P1000,2,7242.1
2026-07-11,P1000,6,21726.3
2026-07-12,P1000,7,25347.35
2026-07-13,P1000,2,7242.1
2026-07-14,P1000,7,25347.35
2026-07-15,P1000,4,14484.2
2026-07-16,P1000,7,25347.35
2026-07-17,P1000,3,10863.15
2026-07-18,P1000,5,18105.25
2026-07-19,P1000,11,39831.55
2026-07-20,P1000,5,18105.25
2026-07-21,P1000,5,18105.25
2026-07-23,P1000,5,18105.25
2026-07-24,P1000,6,21726.3
2026-07-25,P1000,1,3621.05
2026-07-26,P1000,2,7242.1
2026-07-27,P1000,6,21726.3
2026-07-29,P1000,4,14484.2
2026-07-30,P1000,3,10863.15
2026-07-31,P1000,2,7242.1
2026-08-01,P1000,4,14484.2
2026-08-02,P1000,3,10863.15
2026-08-03,P1000,5,18105.25
2026-08-04,P1000,5,18105.25
2026-08-05,P1000,4,14484.2
2026-08-06,P1000,2,7242.1
2026-08-07,P1000,4,14484.2
2026-08-08,P1000,5,18105.25
2026-08-09,P1000,4,14484.2
2026-08-10,P1000,1,3621.05
2026-08-11,P1000,2,7242.1
2026-08-12,P1000,4,14484.2
2026-08-13,P1000,4,14484.2
2026-08-14,P1000,6,21726.3
2026-08-15,P1000,6,21726.3
2026-08-16,P1000,6,21726.3
2026-08-17,P1000,5,18105.25
2026-08-18,P1000,1,3621.05
2026-08-19,P1000,6,21726.3
2026-08-20,P1000,6,21726.3
2026-08-21,P1000,6,21726.3
2026-08-22,P1000,3,10863.15
2026-08-23,P1000,5,18105.25
2026-08-24,P1000,4,14484.2
2026-08-25,P1000,3,10863.15
2026-08-26,P1000,2,7242.1
2026-08-27,P1000,2,7242.1
2026-08-28,P1000,5,18105.25
2026-08-29,P1000,1,3621.05
2026-08-30,P1000,1,3621.05
2026-08-31,P1000,4,14484.2
2026-09-01,P1000,5,18105.25
2026-09-03,P1000,2,7242.1
2026-03-08,P1001,17,29609.92
2026-03-09,P1001,11,19159.36
2026-03-10,P1001,16,27868.16
2026-03-11,P1001,8,13934.08
2026-03-12,P1001,11,19159.36
2026-03-13,P1001,12,20901.12
2026-03-14,P1001,21,36576.96
2026-03-15,P1001,19,33093.44
2026-03-16,P1001,15,26126.4
2026-03-17,P1001,11,19159.36
2026-03-18,P1001,10,17417.6
2026-03-19,P1001,7,12192.32
2026-03-20,P1001,9,15675.84
2026-03-21,P1001,15,26126.4
2026-03-22,P1001,10,17417.6
2026-03-23,P1001,10,17417.6
2026-03-24,P1001,9,15675.84
2026-03-25,P1001,7,12192.32
2026-03-26,P1001,9,15675.84
2026-03-27,P1001,9,15675.84
